dataset,config,train_vector_count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize
cohere-1k-angular (k = 10),"Qdrant(quantization=True, hnsw_ef=None, grpc=True)",900,0.9400000000000001,0.97,1.0,0.08610537424001169,4087.4578517551226,0.244650844251737,0.244650844251737,0.244650844251737,0.244650844251737,0.0,10.258854150772095,10.0,2968.0,0.7261236953735349
cohere-2k-angular (k = 10),"Qdrant(quantization=True, hnsw_ef=None, grpc=True)",1800,0.962,0.9710000000000001,1.0,0.08431990031767037,2818.601150475787,0.38063168176449835,0.38063168176449835,0.38063168176449835,0.38063168176449835,0.0,10.445275783538818,10.0,3584.0,1.2715527343749973
cohere-3k-angular (k = 10),"Qdrant(quantization=True, hnsw_ef=None, grpc=True)",2700,0.942,0.961,1.0,0.0826938506058946,3352.716324056442,0.3154158475808799,0.3154158475808799,0.3154158475808799,0.3154158475808799,0.0,10.610521078109741,10.0,3776.0,1.1262509663899714
cohere-4k-angular (k = 10),"Qdrant(quantization=True, hnsw_ef=None, grpc=True)",3600,0.93625,0.954,1.0,0.08467526662914449,3315.891249179812,0.30157805304042995,0.30157805304042995,0.30157805304042995,0.30157805304042995,0.0,10.7457754611969,10.0,3704.0,1.1170450782775783
cohere-5k-angular (k = 10),"Qdrant(quantization=True, hnsw_ef=None, grpc=True)",4500,0.9460000000000001,0.9628,1.0,0.08342333765326664,2992.9513042014264,0.3341183764860034,0.3341183764860034,0.3341183764860034,0.3341183764860034,0.0,10.986479043960571,10.0,3644.0,1.2175273265838467
cohere-6k-angular (k = 10),"Qdrant(quantization=True, hnsw_ef=None, grpc=True)",5400,0.9488333333333333,0.9640000000000001,1.0,0.0854555138383196,3290.600814091372,0.30852475902065635,0.30852475902065635,0.30852475902065635,0.30852475902065635,0.0,11.087753772735596,10.0,3976.0,1.208289982477831
cohere-7k-angular (k = 10),"Qdrant(quantization=True, hnsw_ef=None, grpc=True)",6300,0.9492857142857142,0.9634285714285713,1.0,0.08615136353335649,2861.3822287108196,0.36931413342244923,0.36931413342244923,0.36931413342244923,0.36931413342244923,0.0,11.297881603240967,10.0,3592.0,1.2553373554774456
cohere-8k-angular (k = 10),"Qdrant(quantization=True, hnsw_ef=None, grpc=True)",7200,0.9483750000000001,0.9653750000000001,1.0,0.08519694504053303,3109.583945360058,0.4010546253994107,0.4010546253994107,0.4010546253994107,0.4010546253994107,0.0,11.488904476165771,10.0,3796.0,1.2207420885563076
cohere-9k-angular (k = 10),"Qdrant(quantization=True, hnsw_ef=None, grpc=True)",8100,0.9475555555555555,0.9617777777777778,1.0,0.08464326446056192,3091.470123114253,0.3460097359493375,0.3460097359493375,0.3460097359493375,0.3460097359493375,0.0,11.666301488876343,10.0,3744.0,1.2110742950439413
cohere-10k-angular (k = 10),"Qdrant(quantization=True, hnsw_ef=None, grpc=True)",9000,0.9444000000000001,0.96,1.0,0.08562454767432487,2913.18450359295,0.3471050295047462,0.3471050295047462,0.3471050295047462,0.3471050295047462,0.0,11.923285007476807,10.0,3724.0,1.2783261737823464
cohere-100k-angular (k = 10),"Qdrant(quantization=True, hnsw_ef=None, grpc=True)",90000,0.9406700000000001,0.95557,1.0,0.08602323866105649,1738.0279006602625,0.5753647419624031,0.5753647419624031,0.5753647419624031,0.5753647419624031,0.0,44.469706535339355,10.0,6244.0,3.59257754011196
cohere-100k-angular (k = 10),"Qdrant(quantization=True, hnsw_ef=None, grpc=True)",90000,0.94124,0.9559,1.0,0.08601230544887087,1839.1315858957437,0.5496948142535985,0.5496948142535985,0.5496948142535985,0.5496948142535985,0.0,45.47209358215332,10.0,5004.0,2.7208493608481072
cohere-250k-angular (k = 10),"Qdrant(quantization=True, hnsw_ef=None, grpc=True)",225000,0.936248,0.9519040000000001,0.9999359999999999,0.08633932514280127,1443.101629159737,0.6970645044930279,0.6970645044930279,0.6970645044930279,0.6970645044930279,0.0,131.7271022796631,10.0,7452.0,5.1638774771108915
cohere-250k-angular (k = 10),"Qdrant(quantization=True, hnsw_ef=None, grpc=True)",225000,0.936892,0.9524520000000001,0.999996,0.08633148819871939,1449.4583883406196,0.7706666365265846,0.7706666365265846,0.7706666365265846,0.7706666365265846,0.0,157.63269472122192,10.0,4752.0,3.2784659692371174
cohere-486k-angular (k = 10),"Qdrant(quantization=True, hnsw_ef=None, grpc=True)",437274,0.9307893382731296,0.9453493876710919,0.9998765050941648,0.0862881101415383,1379.7571283883356,0.7314165122807026,0.7314165122807026,0.7314165122807026,0.7314165122807026,0.0,239.87038469314575,10.0,-255892.0,-185.4616256260273
